"","Iteration","Seconds"
"424","Initial",2181
"425","Initial",2597
"426","Initial",2594
"427","Initial",2648
"428","Initial",2033
"429","Initial",2382
"430","Initial",2597
"431","Initial",2386
"432","Initial",2422
"433","Initial",2471
"434","Initial",2410
"435","Initial",2532
"436","Initial",2194
"437","Initial",2385
"438","Initial",2123
"439","Initial",2315
"440","Initial",2142
"441","Initial",2453
"442","Initial",2418
"443","Initial",2530
"444","Initial",2554
"445","Initial",2420
"446","Initial",2341
"447","Initial",2494
"448","Initial",2598
"449","Initial",2380
"450","Initial",2575
"451","Initial",2651
"452","Initial",2648
"453","Initial",1939
"454","Initial",2492
"455","Initial",2436
"456","Initial",2477
"457","Initial",2549
"458","Initial",2560
"459","Initial",2490
"460","Initial",2180
"461","Initial",2648
"462","Initial",2536
"463","Initial",2386
"464","Initial",2389
"465","Initial",1939
"466","Initial",2671
"467","Initial",2308
"468","Initial",2419
"469","Initial",2536
"470","Initial",2115
"471","Initial",2671
"472","Initial",2778
"473","Initial",2657
"474","Initial",2340
"475","Initial",2547
"476","Initial",2540
"477","Initial",2234
"478","Initial",2080
"479","Initial",2547
"480","Initial",2422
"481","Initial",2035
"482","Initial",2549
"483","Initial",2679
"484","Initial",2599
"485","Initial",2190
"486","Initial",2599
"487","Initial",2655
"488","Initial",2361
"489","Initial",2312
"490","Initial",2654
"491","Initial",2390
"492","Initial",2644
"493","Initial",2607
"494","Initial",2236
"495","Initial",2613
"496","Initial",2551
"497","Initial",2575
"498","Initial",2646
"499","Initial",2550
"500","Initial",2429
"501","Initial",2185
"502","Initial",2520
"503","Initial",2620
"504","Initial",2348
"505","Initial",2557
"506","Initial",2627
"507","Initial",2494
"508","Initial",2012
"509","Initial",2693
"510","Initial",2404
"511","Initial",2144
"512","Initial",2617
"513","Initial",2535
"514","Initial",2700
"515","Initial",2635
"516","Initial",2770
"517","Initial",2704
"518","Initial",2731
"519","Initial",2577
"520","Initial",2430
"521","Initial",2543
"522","Initial",2830
"523","Initial",2779
"524","Initial",2516
"525","Initial",2510
"526","Initial",2445
"527","Initial",2493
"528","Initial",2318
"529","Initial",2458
"530","Initial",2838
"531","Initial",2482
"532","Initial",2682
"533","Initial",2850
"534","Initial",2493
"535","Initial",2661
"536","Initial",2462
"537","Initial",2457
"538","Initial",2731
"539","Initial",2731
"540","Initial",2265
"541","Initial",2376
"542","Initial",2712
"543","Initial",2458
"544","Initial",2636
"545","Initial",2344
"546","Initial",2326
"547","Initial",2395
"548","Initial",2188
"549","Initial",2699
"550","Initial",2267
"551","Initial",2568
"552","Initial",2424
"553","Initial",2477
"554","Initial",2597
"555","Initial",2422
"556","Initial",2616
"557","Initial",2448
"558","Initial",2457
"559","Initial",2491
"560","Initial",2095
"561","Initial",2657
"562","Initial",2493
"563","Initial",2326
"564","Initial",2400
"565","Initial",2390
"566","Initial",2404
"567","Initial",2195
"568","Initial",2785
"569","Initial",2288
"570","Initial",2718
"571","Initial",2355
"572","Initial",1994
"573","Initial",2288
"574","Initial",2537
"575","Initial",2288
"576","Initial",2512
"577","Initial",2349
"578","Initial",2508
"579","Initial",2577
"580","Initial",2637
"581","Initial",2654
"582","Initial",2480
"583","Initial",2425
"584","Initial",2302
"585","Initial",2347
"586","Initial",2700
"587","Initial",2637
"588","Initial",2365
"589","Initial",2418
"590","Initial",2639
"591","Initial",2655
"592","Initial",2318
"593","Initial",2400
"594","Initial",2288
"595","Mid",2653
"596","Mid",2291
"597","Mid",2670
"598","Mid",2671
"599","Mid",2129
"600","Mid",2044
"601","Mid",2561
"602","Mid",2270
"603","Mid",2130
"604","Mid",2677
"605","Mid",2530
"606","Mid",2469
"607","Mid",2178
"608","Mid",2229
